(b'MThd', 6, 1, 3, 480)
MTrk length =  54
MetaEvent : delta_time = 0, status = 255, event_type = 3, length = 29,  data = [84, 119, 101, 108, 118, 101, 45, 116, 111, 110, 101, 32, 101, 113, 117, 97, 108, 32, 116, 101, 109, 112, 101, 114, 97, 109, 101, 110, 116], event type: Sequence / Track Name 
MetaEvent : delta_time = 0, status = 255, event_type = 88, length = 4,  data = [4, 2, 24, 8], event type: Time Signature 
MetaEvent : delta_time = 0, status = 255, event_type = 81, length = 3,  data = [9, 137, 104], event type: Tempo 
MetaEvent : delta_time = 65280, status = 255, event_type = 47, length = 0,  data = [], event type: End of Track 
MTrk length =  3435
MetaEvent : delta_time = 0, status = 255, event_type = 3, length = 5,  data = [80, 105, 97, 110, 111], event type: Sequence / Track Name 
MetaEvent : delta_time = 0, status = 255, event_type = 4, length = 31,  data = [77, 105, 99, 114, 111, 115, 111, 102, 116, 32, 71, 83, 32, 178, 168, 177, 237, 200, 237, 188, 254, 186, 207, 179, 201, 198, 247, 32, 40, 51, 41], event type: Instrument Name 
MidiEvent : delta_time = 0, status = 192, data = [0], event type: Program change
MidiEvent : delta_time = 240, status = 144, data = [67, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [67, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [72, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [72, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [76, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [76, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [67, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [67, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [72, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [72, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [76, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [76, 64], event type: Note off
MidiEvent : delta_time = 252, status = 144, data = [67, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [67, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [72, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [72, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [76, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [76, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [67, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [67, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [72, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [72, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [76, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [76, 64], event type: Note off
MidiEvent : delta_time = 252, status = 144, data = [69, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [69, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [74, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [74, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [77, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [77, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [69, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [69, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [74, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [74, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [77, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [77, 64], event type: Note off
MidiEvent : delta_time = 252, status = 144, data = [69, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [69, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [74, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [74, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [77, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [77, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [69, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [69, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [74, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [74, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [77, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [77, 64], event type: Note off
MidiEvent : delta_time = 252, status = 144, data = [67, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [67, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [74, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [74, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [77, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [77, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [67, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [67, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [74, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [74, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [77, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [77, 64], event type: Note off
MidiEvent : delta_time = 252, status = 144, data = [67, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [67, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [74, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [74, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [77, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [77, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [67, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [67, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [74, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [74, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [77, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [77, 64], event type: Note off
MidiEvent : delta_time = 252, status = 144, data = [67, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [67, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [72, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [72, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [76, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [76, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [67, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [67, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [72, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [72, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [76, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [76, 64], event type: Note off
MidiEvent : delta_time = 252, status = 144, data = [67, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [67, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [72, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [72, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [76, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [76, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [67, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [67, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [72, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [72, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [76, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [76, 64], event type: Note off
MidiEvent : delta_time = 252, status = 144, data = [69, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [69, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [76, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [76, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [81, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [81, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [69, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [69, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [76, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [76, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [81, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [81, 64], event type: Note off
MidiEvent : delta_time = 252, status = 144, data = [69, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [69, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [76, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [76, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [81, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [81, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [69, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [69, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [76, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [76, 64], event type: Note off
