goal1,goal2
-0.69314718056,0,
0.223143551314,0,
0.864997437487,0,
1.40179854766,0,
1.88612223068,0,
2.77794544311,0,
3.20392080392,0,
3.62282937448,0,
4.03715742554,0,
4.44848782108,0,
4.85784409557,0,
4.85784409557,0,
5.26589492822,0,
5.67308014571,0,
6.07969035184,0,
6.4859181308,0,
6.89189136319,0,
7.70338585929,0,
8.10900138828,0,
8.5145667644,0,
8.92009871226,0,
9.32560837773,0,
10.1365880998,0,
10.542066409,0,
10.9475403178,0,
11.353011293,0,
11.7584803125,0,
12.5694148746,0,
12.9748811416,0,
13.3803470224,0,
13.7858126455,0,
14.191278097,0,
15.0022086948,0,
15.4076739046,0,
15.8131390806,0,
16.2186042339,0,
16.6240693721,0,
17.4349996219,0,
17.8404647389,0,
18.245929853,0,
18.651394965,0,
19.0568600758,0,
19.8677902949,0,
20.2732554038,0,
20.6787205125,0,
21.0841856209,0,
21.4896507293,0,
22.3005809457,0,
22.7060460539,0,
23.1115111621,0,
