area,index,starttime,endtime
cHipp,1,0,end,
A41/42,0,0.3125,0.453125,
A41/42,1,0.46875,0.609375,
A41/42,2,0.625,0.765625,
A41/42,3,0.78125,0.921875,
A41/42,4,0.9375,1.078125,
A41/42,5,1.09375,1.234375,
A41/42,6,1.5625,1.703125,
A41/42,7,1.71875,1.859375,
A41/42,8,1.875,2.015625,
A41/42,9,2.03125,2.171875,
A41/42,10,2.1875,2.328125,
A41/42,11,2.34375,2.484375,
A41/42,12,2.8125,2.953125,
A41/42,13,2.96875,3.109375,
A41/42,14,3.125,3.265625,
A41/42,15,3.28125,3.421875,
A41/42,16,3.4375,3.578125,
A41/42,17,3.59375,3.734375,
A41/42,18,4.0625,4.203125,
A41/42,19,4.21875,4.359375,
A41/42,20,4.375,4.515625,
A41/42,21,4.53125,4.671875,
A41/42,22,4.6875,4.828125,
A41/42,23,4.84375,4.984375,
A41/42,24,5.3125,5.453125,
A41/42,25,5.46875,5.609375,
A41/42,26,5.625,5.765625,
A41/42,27,5.78125,5.921875,
A41/42,28,5.9375,6.078125,
A41/42,29,6.09375,6.234375,
A41/42,30,6.5625,6.703125,
A41/42,31,6.71875,6.859375,
A41/42,32,6.875,7.015625,
A41/42,33,7.03125,7.171875,
A41/42,34,7.1875,7.328125,
A41/42,35,7.34375,7.484375,
A41/42,36,7.8125,7.953125,
A41/42,37,7.96875,8.109375,
A41/42,38,8.125,8.265625,
A41/42,39,8.28125,8.421875,
A41/42,40,8.4375,8.578125,
A41/42,41,8.59375,8.734375,
A41/42,42,9.0625,9.203125,
A41/42,43,9.21875,9.359375,
A41/42,44,9.375,9.515625,
A41/42,45,9.53125,9.671875,
A41/42,46,9.6875,9.828125,
A41/42,47,9.84375,9.984375,
A41/42,48,10.3125,10.453125,
A41/42,49,10.46875,10.609375,
A41/42,50,10.625,10.765625,
A41/42,51,10.78125,10.921875,
A41/42,52,10.9375,11.078125,
A41/42,53,11.09375,11.234375,
A41/42,54,11.5625,11.703125,
A41/42,55,11.71875,11.859375,
A41/42,56,11.875,12.015625,
A41/42,57,12.03125,12.171875,
A41/42,58,12.1875,12.328125,
A41/42,59,12.34375,12.484375,
A41/42,60,12.8125,12.953125,
A41/42,61,12.96875,13.109375,
A41/42,62,13.125,13.265625,
A41/42,63,13.28125,13.421875,
A41/42,64,13.4375,13.578125,
A41/42,65,13.59375,13.734375,
A41/42,66,14.0625,14.203125,
A41/42,67,14.21875,14.359375,
A41/42,68,14.375,14.515625,
A41/42,69,14.53125,14.671875,
A41/42,70,14.6875,14.828125,
A41/42,71,14.84375,14.984375,
A41/42,72,15.3125,15.453125,
A41/42,73,15.46875,15.609375,
A41/42,74,15.625,15.765625,
A41/42,75,15.78125,15.921875,
A41/42,76,15.9375,16.078125,
A41/42,77,16.09375,16.234375,
A41/42,78,16.5625,16.703125,
A41/42,79,16.71875,16.859375,
A41/42,80,16.875,17.015625,
A41/42,81,17.03125,17.171875,
A41/42,82,17.1875,17.328125,
A41/42,83,17.34375,17.484375,
A41/42,84,17.8125,17.953125,
A41/42,85,17.96875,18.109375,
A41/42,86,18.125,18.265625,
A41/42,87,18.28125,18.421875,
A41/42,88,18.4375,18.578125,
A41/42,89,18.59375,18.734375,
A41/42,90,19.0625,19.203125,
A41/42,91,19.21875,19.359375,
A41/42,92,19.375,19.515625,
A41/42,93,19.53125,19.671875,
A41/42,94,19.6875,19.828125,
A41/42,95,19.84375,19.984375,
A41/42,96,20.3125,20.453125,
A41/42,97,20.46875,20.609375,
A41/42,98,20.625,20.765625,
A41/42,99,20.78125,20.921875,
A41/42,100,20.9375,21.078125,
A41/42,101,21.09375,21.234375,
A41/42,102,21.5625,21.703125,
A41/42,103,21.71875,21.859375,
A41/42,104,21.875,22.015625,
A41/42,105,22.03125,22.171875,
A41/42,106,22.1875,22.328125,
A41/42,107,22.34375,22.484375,
A41/42,108,22.8125,22.953125,
A41/42,109,22.96875,23.109375,
A41/42,110,23.125,23.265625,
A41/42,111,23.28125,23.421875,
A41/42,112,23.4375,23.578125,
A41/42,113,23.59375,23.734375,
A41/42,114,24.0625,24.203125,
A41/42,115,24.21875,24.359375,
A41/42,116,24.375,24.515625,
A41/42,117,24.53125,24.671875,
A41/42,118,24.6875,24.828125,
A41/42,119,24.84375,24.984375,
A41/42,120,25.3125,25.453125,
A41/42,121,25.46875,25.609375,
A41/42,122,25.625,25.765625,
A41/42,123,25.78125,25.921875,
A41/42,124,25.9375,26.078125,
A41/42,125,26.09375,26.234375,
A41/42,126,26.5625,26.703125,
A41/42,127,26.71875,26.859375,
A41/42,128,26.875,27.015625,
A41/42,129,27.03125,27.171875,
A41/42,130,27.1875,27.328125,
A41/42,131,27.34375,27.484375,
A41/42,132,27.8125,27.953125,
A41/42,133,27.96875,28.109375,
A41/42,134,28.125,28.265625,
A41/42,135,28.28125,28.421875,
A41/42,136,28.4375,28.578125,
A41/42,137,28.59375,28.734375,
A41/42,138,29.0625,29.203125,
