pre,post,weight
1_I_1_1,5_N_1_1,3
1_V_1_1,5_N_1_1,3
1_I_2_1,5_N_1_1,3
1_V_1_1,5_N_1_1,3
1_I_3_1,5_N_1_1,3
1_V_1_1,5_N_1_1,3
5_N_1_1,5_N_2_57,26.83093809326269
1_I_1_1,5_N_2_57,3
1_V_1_1,5_N_2_57,3
5_N_1_1,5_N_2_59,26.83093809326269
1_I_3_1,5_N_2_59,3
1_V_1_1,5_N_2_59,3
5_N_1_1,5_N_2_62,26.83093809326269
1_I_2_1,5_N_2_62,3
1_V_1_1,5_N_2_62,3
5_N_2_57,5_N_3_59,19.483922210313743
5_N_1_1,5_N_3_59,9.870550511855043
1_I_1_1,5_N_3_59,3
1_V_1_1,5_N_3_59,3
5_N_2_59,5_N_3_61,19.483922210313743
5_N_2_62,5_N_3_61,19.483922210313743
5_N_1_1,5_N_3_61,19.741101023710094
1_I_2_1,5_N_3_61,3
1_V_1_1,5_N_3_61,3
1_I_3_1,5_N_3_61,3
1_V_1_1,5_N_3_61,3
5_N_3_59,5_N_4_61,21.393291922677292
5_N_2_57,5_N_4_61,7.870152277332055
5_N_1_1,5_N_4_61,3.9870173341318296
1_I_1_1,5_N_4_61,3
1_V_1_1,5_N_4_61,3
5_N_3_61,5_N_4_62,21.393291922677292
5_N_2_62,5_N_4_62,7.870152277332055
5_N_1_1,5_N_4_62,3.9870173341318296
1_I_2_1,5_N_4_62,3
1_V_1_1,5_N_4_62,3
5_N_3_61,5_N_4_63,21.393291922677292
5_N_2_59,5_N_4_63,7.870152277332055
5_N_1_1,5_N_4_63,3.9870173341318296
1_I_3_1,5_N_4_63,3
1_V_1_1,5_N_4_63,3
5_N_4_62,5_N_5_1,28.73667801815746
5_N_3_61,5_N_5_1,8.754392970613159
5_N_2_62,5_N_5_1,3.220561193824372
5_N_1_1,5_N_5_1,1.631535560295781
1_I_2_1,5_N_5_1,3
1_V_1_1,5_N_5_1,3
5_N_4_61,5_N_5_62,28.73667801815746
5_N_3_59,5_N_5_62,8.754392970613159
5_N_2_57,5_N_5_62,3.220561193824372
5_N_1_1,5_N_5_62,1.631535560295781
1_I_1_1,5_N_5_62,3
1_V_1_1,5_N_5_62,3
5_N_4_63,5_N_5_64,28.73667801815746
5_N_3_61,5_N_5_64,8.754392970613159
5_N_2_59,5_N_5_64,3.220561193824372
5_N_1_1,5_N_5_64,1.631535560295781
1_I_3_1,5_N_5_64,3
1_V_1_1,5_N_5_64,3
5_N_5_1,5_N_6_57,32.77026773781488
5_N_4_62,5_N_6_57,10.571633050443436
5_N_3_61,5_N_6_57,3.220561193824372
5_N_2_62,5_N_6_57,1.1847782522425432
1_I_2_1,5_N_6_57,3
1_V_1_1,5_N_6_57,3
