pre,post,weight,delay,type
1_I_1_1,1_N_1_1,3,0,2
1_V_1_1,1_N_1_1,3,0,2
1_I_2_1,1_N_1_1,3,0,2
1_V_1_1,1_N_1_1,3,0,2
1_I_5_1,1_N_1_1,3,0,2
1_V_1_1,1_N_1_1,3,0,2
1_I_6_1,1_N_1_1,3,0,2
1_V_1_1,1_N_1_1,3,0,2
1_I_7_1,1_N_1_1,3,0,2
1_V_1_1,1_N_1_1,3,0,2
1_I_8_1,1_N_1_1,3,0,2
1_V_1_1,1_N_1_1,3,0,2
1_I_10_1,1_N_1_1,3,0,2
1_V_1_1,1_N_1_1,3,0,2
1_I_11_1,1_N_1_1,3,0,2
1_V_1_1,1_N_1_1,3,0,2
1_I_13_1,1_N_1_1,3,0,2
1_V_1_1,1_N_1_1,3,0,2
1_I_15_1,1_N_1_1,3,0,2
1_V_2_1,1_N_1_1,3,0,2
1_I_17_1,1_N_1_1,3,0,2
1_V_2_1,1_N_1_1,3,0,2
1_I_18_1,1_N_1_1,3,0,2
1_V_3_1,1_N_1_1,3,0,2
1_I_19_1,1_N_1_1,3,0,2
1_V_4_1,1_N_1_1,3,0,2
1_I_22_1,1_N_1_1,3,0,2
1_V_4_1,1_N_1_1,3,0,2
1_I_23_1,1_N_1_1,3,0,2
1_V_4_1,1_N_1_1,3,0,2
1_I_25_1,1_N_1_1,3,0,2
1_V_4_1,1_N_1_1,3,0,2
1_I_31_1,1_N_1_1,3,0,2
1_V_4_1,1_N_1_1,3,0,2
1_I_32_1,1_N_1_1,3,0,2
1_V_4_1,1_N_1_1,3,0,2
1_I_33_1,1_N_1_1,3,0,2
1_V_4_1,1_N_1_1,3,0,2
1_I_34_1,1_N_1_1,3,0,2
1_V_4_1,1_N_1_1,3,0,2
1_I_35_1,1_N_1_1,3,0,2
1_V_4_1,1_N_1_1,3,0,2
1_I_36_1,1_N_1_1,3,0,2
1_V_4_1,1_N_1_1,3,0,2
1_I_37_1,1_N_1_1,3,0,2
1_V_4_1,1_N_1_1,3,0,2
1_I_38_1,1_N_1_1,3,0,2
1_V_4_1,1_N_1_1,3,0,2
1_I_39_1,1_N_1_1,3,0,2
1_V_4_1,1_N_1_1,3,0,2
1_I_40_1,1_N_1_1,3,0,2
1_V_4_1,1_N_1_1,3,0,2
1_I_41_1,1_N_1_1,3,0,2
1_V_4_1,1_N_1_1,3,0,2
1_I_44_1,1_N_1_1,3,0,2
1_V_4_1,1_N_1_1,3,0,2
1_I_45_1,1_N_1_1,3,0,2
1_V_4_1,1_N_1_1,3,0,2
1_I_46_1,1_N_1_1,3,0,2
1_V_4_1,1_N_1_1,3,0,2
1_I_47_1,1_N_1_1,3,0,2
1_V_4_1,1_N_1_1,3,0,2
1_I_50_1,1_N_1_1,3,0,2
1_V_5_1,1_N_1_1,3,0,2
1_I_51_1,1_N_1_1,3,0,2
1_V_5_1,1_N_1_1,3,0,2
1_I_53_1,1_N_1_1,3,0,2
1_V_5_1,1_N_1_1,3,0,2
1_I_54_1,1_N_1_1,3,0,2
1_V_5_1,1_N_1_1,3,0,2
1_I_55_1,1_N_1_1,3,0,2
1_V_6_1,1_N_1_1,3,0,2
1_I_56_1,1_N_1_1,3,0,2
1_V_6_1,1_N_1_1,3,0,2
1_I_57_1,1_N_1_1,3,0,2
1_V_6_1,1_N_1_1,3,0,2
1_I_58_1,1_N_1_1,3,0,2
1_V_6_1,1_N_1_1,3,0,2
